Alvarado,Lilia,Lilia Alvarado,Yes,x,Yes,x,"photography, scene, portrait",N/A,,,,,
Alzamora,Emil,Emil Alzamora,Yes,x,No,x,sculpture,N/A,,,,,
Amano,Yoshitaka,Yoshitaka Amano,Yes,x,Yes,x,"messy, dark,",N/A,,,,,
Amer,Ghada,Ghada Amer,Yes,x,Yes,x,"abstract, portrait",N/A,,,,,
Amiet,Cuno,Cuno Amiet,Yes,x,Yes,x,"impressionism, portrait, landscape",N/A,,,,,
Amor,Rick,Rick Amor,Yes,x,No,x,"landscape, streetscape",N/A,,,,,
Amorsolo,Fernando,Fernando Amorsolo,Yes,x,Yes,x,"realism, scene",1972,,,,,
Anacleto,Jay,Jay Anacleto,Yes,x,Yes,x,"comics, detailed",N/A,,,,,
Anatsui,El,El Anatsui,Yes,x,Yes,x,"abstract, sculpture, texture, melanin",N/A,,,,,
Ancher,Anna,Anna Ancher,Yes,x,Yes,x,"impressionism, scene",1935,,,,,
Ancher,Michael,Michael Ancher,Yes,x,Yes,x,"impressionism, realism, scene",1927,,,,,
Andersen,Hans Christian,Hans Christian Andersen,Yes,x,Yes,x,"romanticism, art nouveau",1875,,,,,
Andersen,Sarah,Sarah Andersen,Yes,x,Yes,x,"cartoon, comics, high contrast",N/A,,,,,
Anderson,Richard,Richard Anderson,Yes,sureai,Yes,x,"digital, fantasy, dark, messy",N/A,,,,,
Anderson,Sophie,Sophie Anderson,Yes,sureai,Yes,x,"character, portrait",N/A,,,,,
Anderson,Wes,Wes Anderson,Yes,sureai,Yes,x,"vibrant, whimsical, photography, pink",N/A,,,,,
Ando,Tadao,Tadao Ando,Yes,sureai,Yes,x,"angular, architecture",N/A,,,,,
Andreev,Alex,Alex Andreev,Yes,sureai,Yes,x,"landscape, high contrast, vibrant",N/A,,,,,
Andrews,Esao,Esao Andrews,Yes,sureai,Yes,x,"surrealism, dark,",N/A,,,,,
Angelico,Fra,Fra Angelico,Yes,sureai,Yes,x,"renaissance, scene",1455,,,,,
Angrand,Charles,Charles Angrand,Yes,sureai,Yes,x,"impressionism, clean",1926,,,,,
Anguissola,Sofonisba,Sofonisba Anguissola,Yes,sureai,Yes,x,"renaissance, portrait",1625,,,,,
Aniela,Miss,Miss Aniela,Yes,sureai,Yes,x,"whimsical, photography, scene",N/A,,,,,
Anker,Albrecht,Albrecht Anker,Yes,sureai,Yes,x,"realism, scene, portrait",1910,,,,,
Anning,Mary,Mary Anning,Yes,sureai,Yes,x,"scene, landscape",1847,,,,,
Anquetin,Louis,Louis Anquetin,Yes,sureai,Yes,x,"impressionism, portrait, scene",1932,,,,,
Ansell,Mary Jane,Mary Jane Ansell,Yes,sureai,Yes,x,"portrait, still life, photorealism",N/A,,,,,
Ansin,Martin,Martin Ansin,Yes,sureai,Yes,x,"detailed, high contrast",N/A,,,,,
Antoni,Janine,Janine Antoni,Yes,sureai,No,x,sculpture,N/A,,,,,
Aoshima,Chiho,Chiho Aoshima,Yes,sureai,Yes,x,"pop art, colorful, whimsical, anime, fantasy, vibrant",N/A,,,,,
Apterus,Sabbas,Sabbas Apterus,Yes,sureai,Yes,x,"digital, dark, scene",N/A,AKA Peter Polach,,,,
Arad,Ron,Ron Arad,Yes,sureai,Yes,x,architecture,N/A,AKA Giorgione,,,,
Aragonés,Sergio,Sergio Aragonés,Yes,sureai,Yes,x,"cartoon, comics",N/A,,,,,
Araki,Hirohiko,Hirohiko Araki,Yes,sureai,Yes,x,"manga, anime",N/A,,,,,
Araki,Nobuyoshi,Nobuyoshi Araki,Yes,sureai,Yes,x,"photography, scene, japanese",N/A,,,,,
Aramaki,Shinji,Shinji Aramaki,Yes,sureai,Yes,x,"anime, scene, character",N/A,,,,,
Arbus,Diane,Diane Arbus,Yes,sureai,Yes,x,"photography, monochromatic, scene",1971,,,,,
Arcangel,Cory,Cory Arcangel,Yes,sureai,Yes,x,"high contrast, colorful, installation",N/A,,,,,
Archillect,N/A,Archillect,Yes,sureai,Yes,x,"monochromatic, dark, photography",N/A,,,,,
Archipenko,Alexander,Alexander Archipenko,Yes,sureai,Yes,x,"sculpture, abstract, cubism",1964,"Also ""Olexandr Archipenko""",,,,
Arcimboldo,Giuseppe,Giuseppe Arcimboldo,Yes,sureai,Yes,x,"dark, fruit",1593,,,,,
Ardon,Mordecai,Mordecai Ardon,Yes,sureai,Yes,x,"abstract, figurativism, expressionism",1992,,,,,
Argyle,Steve,Steve Argyle,Yes,sureai,Yes,x,"fantasy, character",N/A,,,,,
Arian,Mark,Mark Arian,Yes,sureai,Yes,x,"character, figurativism",N/A,,,,,
Arkhipov,Abram Efimovich,Abram Efimovich Arkhipov,Yes,sureai,Yes,x,"realism, scene",1930,,,,,
Arkley,Howard,Howard Arkley,Yes,sureai,Yes,x,"architecture, vibrant, colorful, detailed",1999,,,,,
Armstrong,Rolf,Rolf Armstrong,Yes,sureai,Yes,x,"character, vibrant, art nouveau, art deco",1960,,,,,
Arnegger,Alois,Alois Arnegger,Yes,sureai,Yes,x,"romanticism, landscape",1963,,,,,
Arnold,Eve,Eve Arnold,Yes,sureai,Yes,x,"photography, monochromatic",2012,,,,,
Arntz,Gerd,Gerd Arntz,Yes,sureai,Yes,x,"graphic design, high contrast, flat colors, monochromatic",1988,,,,,
Arntzenius,Floris,Floris Arntzenius,Yes,sureai,Yes,x,"realism, streetscape, scene",1925,,,,,
Aroch,Guy,Guy Aroch,Yes,sureai,Yes,x,"photography, fashion, portrait",N/A,,,,,
Aronson,Ben,Ben Aronson,Yes,sureai,Yes,x,"cityscape, streetscape, realism, impressionism",N/A,,,,,
Arp,Jean,Jean Arp,Yes,sureai,Yes,x,"abstract, high contrast",1966,,,,,
Arrivabene,Agostino,Agostino Arrivabene,Yes,sureai,Yes,x,"renaissance, dark, surrealism, low contrast",N/A,,,,,
Arsham,Daniel,Daniel Arsham,Yes,sureai,Yes,x,"sculpture, installation",N/A,,,,,
Artgerm,N/A,Artgerm,Yes,sureai,Yes,x,character,N/A,,,,,
Asai,Miki,Miki Asai,Yes,sureai,Yes,x,"photography, vibrant, macro, japanese",N/A,,,,,
Asano,Inio,Inio Asano,Yes,sureai,Yes,x,"manga, scene, anime",N/A,,,,,
Ascher,Clemens,Clemens Ascher,Yes,sureai,Yes,x,"photography, vibrant, high contrast",N/A,,,,,
Asencio,Henry,Henry Asencio,Yes,sureai,Yes,x,"dark, messy, expressionism, impressionism, abstract, figurativism, portrait",N/A,,,,,
Atget,Eugène,Eugène Atget,Yes,sureai,Yes,x,"photography, surrealism, monochromatic, architecture, dark",1927,,,,,
Atroshenko,Andrew,Andrew Atroshenko,Yes,sureai,Yes,x,"portrait, impressionism, figurativism",N/A,,,,,
Audubon,John James,John James Audubon,Yes,sureai,Yes,x,"birds, realism, watercolor",1851,,,,,
Auerbach,Frank,Frank Auerbach,Yes,sureai,Yes,x,"dark, expressionism",1931,,,,,
Ault,George,George Ault,Yes,sureai,Yes,x,"surrealism, dark, angular, high contrast",1948,,,,,
Avercamp,Hendrick,Hendrick Avercamp,Yes,sureai,Yes,x,"landscape, scene",1634,,,,,
Averin,Alexandr,Alexandr Averin,Yes,sureai,Yes,x,"scene, impressionism",N/A,,,,,
Avery,Milton,Milton Avery,Yes,sureai,Yes,x,"low contrast, abstract",1965,,,,,
Avery,Tex,Tex Avery,Yes,sureai,Yes,x,"whimsical, storybook realism",1980,,,,,
Azzopardi,Deborah,Deborah Azzopardi,Yes,sureai,Yes,x,"pop art, cartoon, vibrant",N/A,,,,,
Baade,Carrie Ann,Carrie Ann Baade,Yes,sureai,Yes,x,"detailed, surrealism, pop art",N/A,,,,,
Baars,Ingrid,Ingrid Baars,Yes,sureai,Yes,x,"high contrast, photography, dark, portrait, monochromatic",N/A,,,,,
Bachalo,Chris,Chris Bachalo,Yes,sureai,Yes,x,"comics, high contrast",N/A,,,,,
Bachelier,Anne,Anne Bachelier,Yes,sureai,Yes,x,"portrait, surrealism",N/A,,,,,
Backer,Harriet,Harriet Backer,Yes,sureai,Yes,x,"scene, impressionism",1932,,,,,
Bacon,Francis,Francis Bacon,Yes,sureai,Yes,x,"expressionism,",1992,,,,,
Baes,Firmin,Firmin Baes,Yes,sureai,Yes,x,"impressionism, portrait, still life, landscape",1943,,,,,
Bagge,Peter,Peter Bagge,Yes,sureai,Yes,x,"comics, whimsical, high contrast",N/A,,,,,
Bagshaw,Tom,Tom Bagshaw,Yes,sureai,Yes,x,"character, dark, fantasy, scene",N/A,,,,,
Baheux,Laurent,Laurent Baheux,Yes,sureai,Yes,x,"photography, monochromatic, high contrast, nature, animals, landscape",N/A,,,,,
Bailey,David,David Bailey,Yes,sureai,No,x,"photography,",N/A,,,,,
Bailly,Alice,Alice Bailly,Yes,sureai,Yes,x,"cubism, high contrast, fauvism",1938,,,,,
Bak,Karol,Karol Bak,Yes,sureai,Yes,x,"character, vibrant",N/A,,,,,
Bakshi,Ralph,Ralph Bakshi,Yes,sureai,Yes,x,cartoon,N/A,AKA Giorgio Barbarelli da Castelfranco,,,,
Bakst,Léon,Léon Bakst,Yes,sureai,Yes,x,"romanticism, art nouveau",1924,,,,,
Balaskas,Christopher,Christopher Balaskas,Yes,sureai,Yes,x,"vibrant, digital, landscape, sci-fi, space",N/A,,,,,
Baldridge,Jamie,Jamie Baldridge,Yes,sureai,Yes,x,"photography, dark",N/A,,,,,
Baldung,Hans,Hans Baldung,Yes,sureai,Yes,x,"renaissance,",1545,,,,,
Balfour,Ronald,Ronald Balfour,Yes,sureai,Yes,x,"art deco, art nouveau, watercolor",1941,,,,,
Balivet,Emily,Emily Balivet,Yes,sureai,Yes,x,"detailed, art nouveau, colorful",N/A,,,,,
Balke,Peder,Peder Balke,Yes,sureai,Yes,x,"landscape, seascape, cloudscape",1887,,,,,
Balla,Giacomo,Giacomo Balla,Yes,sureai,Yes,x,"cubism, abstract",1958,,,,,
Balthus,N/A,Balthus,Yes,sureai,Yes,x,"scene, dark, watercolor",2001,,,,,
Baluschek,Hans,Hans Baluschek,Yes,sureai,Yes,x,"dark, cityscape, realism",1935,,,,,
Bana,Benedick,Benedick Bana,Yes,sureai,Yes,x,"character, sci-fi, messy, monochromatic, 3D",N/A,,,,,
Banksy,N/A,Banksy,Yes,sureai,Yes,x,"street art, graffiti, high contrast",N/A,,,,,
Barbarelli da Castelfranco,Giorgio,Giorgio Barbarelli da Castelfranco,Yes,sureai,Yes,x,"scene, portrait, renaissance",1510,,,,,
Barbey,Thomas,Thomas Barbey,Yes,erra,Yes,x,"photography, monochromatic, surrealism",N/A,,,,,
